yyyymm,month,item,exp_usd,exp_musd,mom_pct,yoy_pct
202311,2023-11,디스플레이,1776630789.0,1776.630789,-9.62417686708652,6.1786259449619685
202310,2023-10,휴대폰,256594460.0,256.59446,-4.458586939173337,-8.2512557066466
202310,2023-10,디스플레이,1965825292.0,1965.825292,17.698730150380705,16.13626578960421
202310,2023-10,반도체,8117853051.0,8117.853051,-6.999055387153696,-7.6067879742301
202309,2023-09,반도체,8728785589.0,8728.785589,8.81407286968916,-14.97014817546225
202309,2023-09,휴대폰,268568835.0,268.568835,64.89424386245943,-33.699561507235686
202309,2023-09,디스플레이,1670217928.0,1670.217928,-6.091785082832757,4.117279611651181
202308,2023-08,반도체,8021743290.0,8021.74329,16.14429197441083,-20.178598961769733
202308,2023-08,디스플레이,1778564239.0,1778.564239,15.234918130374941,4.2571416807155815
202308,2023-08,휴대폰,162873384.0,162.873384,-28.08584906210212,-35.87631247677646
202307,2023-07,휴대폰,226483080.0,226.48308,-6.152839177789382,-24.20062356187759
202307,2023-07,반도체,6906704715.0,6906.704715,-15.384126796607944,-33.32301928826282
202307,2023-07,디스플레이,1543424743.0,1543.424743,22.381686079330798,-4.935867209575706
202306,2023-06,휴대폰,241331840.0,241.33184,-24.302632299510318,-47.36779444390514
202306,2023-06,반도체,8162422077.0,8162.422077,16.85033693384428,-25.588691395700437
202306,2023-06,디스플레이,1261156626.0,1261.156626,-2.0389046032406655,-11.828183137472859
202305,2023-05,휴대폰,318811403.0,318.811403,-1.7940007916081524,-24.140611625851605
202305,2023-05,반도체,6985364605.0,6985.364605,15.194698924506778,-31.802946112621168
202305,2023-05,디스플레이,1287405598.0,1287.405598,15.67955510896848,-7.131604862217733
202304,2023-04,반도체,6063963594.0,6063.963594,-22.172329738577734,-37.67935511645023
202304,2023-04,디스플레이,1112906768.0,1112.906768,2.5062303127108665,-29.90842962031043
202304,2023-04,휴대폰,324635364.0,324.635364,26.173549601917422,-42.59148107129979
202303,2023-03,휴대폰,257292725.0,257.292725,52.17717787742133,-66.39738307382869
202303,2023-03,반도체,7791526553.0,7791.526553,37.0805267903562,-33.065001004607886
202303,2023-03,디스플레이,1085696708.0,1085.696708,9.030179278585205,-43.33309189757713
202302,2023-02,반도체,5683904735.0,5683.904735,-1.6323204705686267,-38.93483878453379
202302,2023-02,휴대폰,169074449.0,169.074449,-46.39296106958064,-37.799251736631604
202302,2023-02,디스플레이,995776321.0,995.776321,-14.437650356227005,-42.95220230967013
202301,2023-01,휴대폰,315395986.0,315.395986,292.4303209261105,152.3076330606115
202301,2023-01,디스플레이,1163801982.0,1163.801982,-6.931539151117039,-36.5130650369048
202301,2023-01,반도체,5778223866.0,5778.223866,-28.99039762405501,-41.2256850096987
202212,2022-12,휴대폰,80369933.0,80.369933,-71.36275477972038,
202212,2022-12,반도체,8137242954.0,8137.242954,0.3159839669847342,-27.03586219758979
202212,2022-12,디스플레이,1250479455.0,1250.479455,-25.266301177275786,
202211,2022-11,휴대폰,280648269.0,280.648269,0.34950196841061487,
202211,2022-11,반도체,8111611562.0,8111.611562,-7.677825379429559,-24.431684158074596
202211,2022-11,디스플레이,1673247109.0,1673.247109,-1.1485548724383565,
202210,2022-10,휴대폰,279670814.0,279.670814,-30.958863481578835,
202210,2022-10,반도체,8786200710.0,8786.20071,-14.410849383970547,-12.458074351163816
202210,2022-10,디스플레이,1692688566.0,1692.688566,5.518043943345141,
202209,2022-09,디스플레이,1604169773.0,1604.169773,-5.965636980524957,
202209,2022-09,반도체,10265554275.0,10265.554275,2.148734388693474,-6.086660566486168
202209,2022-09,휴대폰,405078520.0,405.07852,59.48049829215716,
202208,2022-08,디스플레이,1705939958.0,1705.939958,5.073929542285982,
202208,2022-08,휴대폰,253998780.0,253.99878,-14.991666750364574,
202208,2022-08,반도체,10049614747.0,10049.614747,-2.981523563497457,-3.978651795387411
202207,2022-07,디스플레이,1623561587.0,1623.561587,13.508799749982781,
202207,2022-07,반도체,10358454509.0,10358.454509,-5.568941686474216,6.807550685003627
202207,2022-07,휴대폰,298792801.0,298.792801,-34.83609903727024,
